サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"馬場研究所","ぶぁぶぁくん","DS,IPoE,IPsec,IPv,Linux,Lite,NGN,PC,VPN,フレッツ,ルータ","自作PCをLinuxルータに改造して、(1)IPv6 IPoE + DS-Liteを用いてインターネットを高速化する、(2)NGN（フレッツ網）で折り返してIPsec VPNを通す、といった趣旨の同人誌頒布を予定しています。","https://techbookfest.org/event/tbf06/circle/42260014","","う26"
"海洋軟件","retrage","EFI,GRUB,Linux,UEFI,stub","EFI stubでのLinuxの起動プロセスの追跡やUEFI上のGRUBでのLinuxの起動プロセスの追跡","https://techbookfest.org/event/tbf06/circle/65580001","https://efi-book.github.io/","う27"
"windhole","風穴 江","Linux","Linuxカーネルに関連した技術をやさしく解説する書籍シリーズ","https://techbookfest.org/event/tbf06/circle/44540002","https://www.facebook.com/windholep/","う28"
"第7開発セクション","tboffice","linux","linuxのコマンドを著しく詳細に解説しています。","https://techbookfest.org/event/tbf06/circle/54370003","https://sites.google.com/site/dai7sec/","う29"
"team zpn","team zpn","Ubuntu","Ubuntuを利用したさまざまなソフトウェア・ハードウェアの活用方法をご紹介","https://techbookfest.org/event/tbf06/circle/71590001","http://team-zpn.com","う30"
"WebでIoTをする会","9wick","IoT,Web,obniz","Webと連携したIoTをする際にどのような手段があるかの話から入り、その一つのobnizという開発ボードの使い方、プログラムの仕方、どんな事ができるか等についての本です。","https://techbookfest.org/event/tbf06/circle/64160001","","う31"
"radiberry pi!","病葉","Redmine,pi,raspberry","raspberry piでラジオを快適に聴取するための本／Redmineをローカル環境で運用するノウハウの本","https://techbookfest.org/event/tbf06/circle/52360007","","う32"
"脱線転轍機","かるだん","DPDK,GbE,LinuxPTP,PTP,TRex,コミケ,トラフィックジェネレータ","DPDKを使ったトラフィックジェネレータであるTRexの構築及び運用あれこれ本をメインにする予定。その他コミケで頒布した高精度時刻同期プロトコルPTPの解説本とLinuxPTPと自宅10GbE化本も持参予定。","https://techbookfest.org/event/tbf06/circle/38470003","https://catchpoint.jp/","う33"
"暗黒通信団","シ","C,Erlang,Linux","主に数学と物理学とLinux、C++関連の本を出しています。今回はErlangの本も持っていきます。","https://techbookfest.org/event/tbf06/circle/56460001","http://ankokudan.org/d/d.htm?index-J.html","う34"
"liumBooks","hikalium","OS,Operating,System","Operating Systemの設計や実装、自作OSをテーマとした小説形式の文章","https://techbookfest.org/event/tbf06/circle/50540003","","う35"
"moppris","mopp","プロセススケジューラ,メモリアロケーター","新刊: プロセススケジューラ本1冊、旧刊: メモリアロケーター本1冊","https://techbookfest.org/event/tbf06/circle/44450001","https://twitter.com/Mopp_jp","う36"
"へにゃぺんて","yohgami","NIC,OS,PC,アプリ,ステップバイステップ,ドライバ,フルスクラッチ,ブートローダー・カーネル・アプリ","フルスクラッチによる自作OSを行っています。今は64ビットPC向け自作OSをステップバイステップで行うシリーズを刊行しています。これまでOSを構成するブートローダー・カーネル・アプリといった要素を少しずつ作っていき、最新刊ではカーネルとアプリをバイナリレベルで分離できるようになりました。技術書典6の新刊では「自作NICドライバ」を予定しています。","https://techbookfest.org/event/tbf06/circle/63920002","http://yuma.ohgami.jp","う37"
"bitnos","uchan","","オペレーティングシステムを自作する際の要素技術の解説本など","https://techbookfest.org/event/tbf06/circle/41980004","","う38"
"JUCE JAPAN 編集部","COx2","AU,C,JAPAN,JUCE,VST,アプリケーション・プラグイン","「JUCE JAPAN」は、クロスプラットフォームなC++ ライブラリ「JUCE」に特化したプログラミング専門書です。本誌特集では「シンセサイザー制作記録」を題材に、「VST/AUプラグインで作るシンセサイザー」について解説します。C++とJUCEで本格的な楽器アプリケーション・プラグインを作ろう！ ","https://techbookfest.org/event/tbf06/circle/40030005","http://www.oufac.com/","う39"
"Code Craft Works","緑野　翁","Qt,アプリケーションフレームワーク","クロスプラットフォーム向けアプリケーションフレームワークQtに関する同人誌です。","https://techbookfest.org/event/tbf06/circle/67790001","","う40"
"pospome","pospome","CircleCI,Docker,GKE,Go,Spinnaker","Go + Docker + CircleCI + GKE + Spinnaker でコンテナを動かすための環境を構築する書籍です。","https://techbookfest.org/event/tbf06/circle/35970001","https://www.pospome.work/entry/2019/04/08/220624","う41"
"141-0031","イチヨンイチゼロゼロサンイチ","Spinnaker,ハンズオン","ハンズオン形式でSpinnakerの使い方を解説します.","https://techbookfest.org/event/tbf06/circle/40350001","","う42"
"カウプラン機関極東支部","wanda4","Ruby,Terraform,jQuery","Ruby、jQuery、インフラ（Terraformとテーブル設計の本は中止になりました。ごめんな）","https://techbookfest.org/event/tbf06/circle/59880002","https://kauplan.org/","う43"
"アルハンブラの畔","バルゴ","Chart,Helm,Kubernetes,デプロイ","Kubernetesのパッケージマネージャーである「Helm」によるソフトウェアのデプロイ方法とHelm Chartの自作方法を紹介します","https://techbookfest.org/event/tbf06/circle/67620005","","う44"
"(稀に)月一勉強会","ques0942","knative","数人でごった煮の本になる予定です。現状確定してるのはknativeの試してみた的なもののみです。","https://techbookfest.org/event/tbf06/circle/42270003","","う45"
"カエルと空","toshi0607","AWS,Knative,Lambda,①,②","①Knativeの仕組み ②AWS Lambdaのユースケース集","https://techbookfest.org/event/tbf06/circle/71450004","","う46"
"おとうふ工房","あおい","kubernetes","マンガでkubernetesについて詳しく説明します。初心者向けの内容です","https://techbookfest.org/event/tbf06/circle/63950001","","う47"
"メンチコロッケカレー","山P、buchy","API,Flutter,Go,Kubernetes,gRPC,アンドロイドアプリ","Goで作成したgRPCのAPIをKubernetesで動かす本、Flutterでアンドロイドアプリを作る","https://techbookfest.org/event/tbf06/circle/42120001","","う48"
"web-apps.tech","nasa9084","Go","Go言語のパッケージを紹介します","https://techbookfest.org/event/tbf06/circle/52180003","","う49"
"Japan Container Days","jacopen","ConcourseCI,Container,Days,GitOps,Helm,Japan,Kubernetes,Microservices,Nuxt,Spinnaker,Terraform,js,showKs,v,アプリ,クラウドネイティブ","昨年12月に開催されたコンテナ技術のイベント "Japan Container Days v18.12" の主催者企画『showKs』 クラウドネイティブ時代のインフラ運用およびアプリ開発のショーケースを目指して行われたこの企画は、100人を超える参加者でマイクロサービスアプリケーションを作り、それをKubernetes上で稼働させるという大きなものとなりました。今回は、そのshowKsの技術的な解説本を頒布します。解説している技術スタック: Kubernetes / Terraform / Helm / Microservices / ConcourseCI / Spinnaker / GitOps / Nuxt.js","https://techbookfest.org/event/tbf06/circle/56220002","http://containerdays.jp","う50"
"すべてがM(icro)になる","ota42y","Mesh,MicroFrontend,Service","マイクロサービスにかんするよろず本　第３弾です。マイクロサービスに関する本や、Service Mesh、MicroFrontend等を予定しています。","https://techbookfest.org/event/tbf06/circle/60290003","https://ota42y.com/","う51"
"ComPandemic","btk","OSS,OpenStack,pi,raspberry,アプリ,クラウドコンピューティング","クラウドコンピューティングのためのOSSであるOpenStackを題材に様々なことを試しています。raspberry pi をOpenStackで管理するなど、現在はインフラ周りの管理を中心に行っていますが今後はそのインフラ上で動かすアプリも検討していく予定です。","https://techbookfest.org/event/tbf06/circle/38190002","","う52"
